sequenceID	description	ratio	std	df	tval	pval	seqnames	start	end	width	strand	wormbaseID	publicID	entrezID
F44D12.5	31292 Protein containing a major sperm protein domain, which are involved in sperm motility, has very strong similarity to uncharacterized C. elegans F44D12.7 F44D12.5	1.347	0.182439161	20	7.38301394	0	chrIV	10029055	10029498	444	+	WBGene00009682	msd-2	260109
F58A6.9	32457 Protein of unknown function, has very strong similarity to a region of C. elegans MSP-10, which is involved in oocyte maturation F58A6.9	1.011	0.137519377	20	7.350169222	0	chrII	5158538	5158988	451	-	WBGene00019026		173885
ZK546.6	53768 Sperm-specific protein involved in sperm motility, member of the major sperm protein (MSP) family msp-152/ZK546.6	1.047	0.142972795	20	7.323186568	0	chrII	4932991	4933450	460	+	WBGene00003470	msp-152	191712
C09G5.7	23481 Protein of unknown function, has moderate similarity to uncharacterized C. elegans C54G4.2 C09G5.7	1.065	0.147701127	20	7.211548138	0	chrII	10714883	10716457	1575	+	WBGene00007489		182461
T01B10.2	27316 Protein of unknown function, has strong similarity to C. elegans GRD-3 grd-14/T01B10.2	1.072	0.148657036	20	7.208412049	0	chrX	8499664	8501045	1382	+	WBGene00001703	grd-14	187934
C05B5.2	27512 Putative ortholog of C. elegans C33F10.1 gene product C05B5.2	1.122	0.156676333	20	7.159954075	0	chrIII	9999819	10000528	710	-	WBGene00007320		176412
Y37D8A.5	30139 Member of a protein family Y37D8A.5	1.075	0.151025939	20	7.118514987	0	chrIII	12854049	12855491	1443	-	WBGene00012547		189613
R05F9.13	32570	1.035	0.143099556	19	7.230540093	0	chrII	4916179	4916562	384	-	WBGene00003429	msp-31	173849
ZK354.4	31875 Member of major sperm protein family msp-113/ZK354.4	1.161	0.165074736	20	7.034876046	0	chrIV	5297927	5298380	454	+	WBGene00003468	msp-113	259801
F59B1.5	28761 Protein of unknown function, has high similarity to uncharacterized C. elegans F59B1.3 F59B1.5	1.049	0.150093961	20	6.991996083	0	chrV	3622382	3623698	1317	-	WBGene00005985	srx-94	NA
B0240.3	23273 A guanylate cyclase that is involved in chemosensation and dauer formation daf-11/B0240.3	1.392	0.181459786	16	7.672498856	0	chrV	11718089	11725652	7564	-	WBGene00000907	daf-11	179605
T01B10.1	32656 Protein of unknown function, has strong similarity to C. elegans GRD-3 grd-4/T01B10.1	1.189	0.17146411	20	6.936868728	0	chrX	8501222	8502289	1068	+	WBGene00001693	grd-4	24104827
T15B7.5	25508 Protein containing two collagen triple helix repeats and a nematode cuticle collagen N-terminal domain, has a region of high similarity to a region of C. elegans BLI-1, which is a likely collagen involved in embryogenesis and morphogenesis and chemotaxis T15B7.5	1.292	0.183159468	19	7.053160146	0	chrV	6829666	6830739	1074	+	WBGene00000714	col-141	188515
F20A1.10	32177 Protein of unknown function, has high similarity to uncharacterized C. elegans C33G8.4 F20A1.10	1.126	0.163377948	20	6.893965043	0	chrV	7052717	7053200	484	-	WBGene00017621		184707
ZK354.5	31876 Major sperm protein required for spermatogenesis in C. elegans msp-51/ZK354.5	1.013	0.148661018	20	6.817099892	0	chrIV	5294812	5295376	565	-	WBGene00003444	msp-51	191292
F32B6.6	51010	1.036	0.152926592	20	6.773585631	0	chrIV	9894596	9895038	443	+	WBGene00003464	msp-77	177844
F15E11.1	51185	1.016	0.150880903	20	6.733533965	0	chrV	2329444	2329954	511	-	WBGene00017490	pud-2.1	178713
R09D1.1	21361 Member of the glycosyl hydrolase 18 family, has weak similarity to chitinase 3-like 1 (cartilage glycoprotein-39, human CHI3L1), which binds chitin but does not have chitinase activity and is expressed in rheumatoid arthritis cartilage and synovial cells R09D1.1	1.147	0.169400723	18	6.771144565	0	chrII	9442168	9443629	1462	-	WBGene00011157	chil-15	187731
F57B7.3	21245 Protein containing two collagen triple helix repeats and one nematode cuticle collagen N-terminal domain, has high similarity to a region of C. elegans BLI-1, which is a putative collagen that functions in embryogenesis and morphogenesis and chemotaxis F57B7.3	1.179	0.182907741	20	6.446349531	0	chrV	11449220	11450357	1138	-	WBGene00000729	col-156	186439
T28C6.4	50795 Protein with high similarity to C. elegans DPY-16, which is a collagen involved in epithelial morphogenesis, contains two collagen triple helix repeats and one nematode cuticle collagen N-terminal domain T28C6.4	1.057	0.166199115	20	6.362530692	0	chrIV	8822857	8824195	1339	-	WBGene00000691	col-117	177694
W05B2.1	30264 Protein with high similarity to C. elegans DPY-16, which is a collagen involved in morphogenesis of the epithelium, contains two collagen triple helix repeats and one nematode cuticle collagen N-terminal domain W05B2.1	1.599	0.25446908	20	6.283865443	0	chrIII	10982144	10987873	5730	-	WBGene00000669	col-94	259336
W05B2.6	30268 Protein with high similarity to C. elegans DPY-16, which is a collagen, member contains two collagen triple helix repeats, which are found in some extracellular proteins, and a nematode cuticle collagen N-terminal domain W05B2.6	1.685	0.268653814	20	6.271344292	0	chrIII	10982141	10987702	5562	-	WBGene00000667	col-92	176528
T05E7.2	33605 Protein containing a nematode cuticle collagen N-terminal domain, has a region of moderate similarity to a region of C. elegans BLI-1, which is a putative collagen involved in embryogenesis and morphogenesis and chemotaxis T05E7.2	1	0.160130819	20	6.246257939	0	chrI	6199673	6200193	521	+	WBGene00000632	col-55	188127
C13A2.6	22938 Protein containing a DUF23 domain of unknown function, has high similarity to uncharacterized C. elegans K08D9.6 C13A2.6	1.302	0.192645214	16	6.756894239	0	chrV	7269699	7272787	3089	+	WBGene00015723		182554
R11D1.3	32617 Protein of unknown function, has moderate similarity to uncharacterized C. elegans R11D1.4 R11D1.3	1.045	0.170184373	20	6.139356365	0	chrV	12711274	12712109	836	-	WBGene00011244		187804
F08E10.7	53023 Member of an uncharacterized protein family F08E10.7	1.747	0.298900099	20	5.845227475	0	chrV	17486428	17487241	814	+	WBGene00008575	scl-24	184188
F47B8.11	31357 Protein of unknown function, has high similarity to uncharacterized C. elegans T13F2.9 F47B8.11	1.106	0.190513208	20	5.804638965	0	chrV	14346059	14346967	909	+	WBGene00006057	sss-2	NA
W05B2.5	30267 Protein with high similarity to C. elegans DPY-16, which is a collagen, contains two collagen triple helix repeats, which are found in some extracellular proteins, and a nematode cuticle collagen N-terminal domain W05B2.5	1.404	0.238133734	19	5.896551382	0	chrIII	10982200	10985609	3410	-	WBGene00000668	col-93	259335
R05F9.8	52953 Member of the major sperm protein family msp-33/R05F9.8	1.046	0.177343915	19	5.895861952	0	chrII	4892270	4892803	534	-	WBGene00003431	msp-33	173844
C11D2.6	22935 Member of the ion transport family, which include calcium, sodium, and potassium channels, has weak similarity to calcium channel alpha 1S subunit (human CACNA1S), which is involved in coupling of excitation and contraction in muscle C11D2.6	1.142	0.186926423	17	6.107284165	0	chrIV	6157306	6183857	26552	-	WBGene00006809	unc-77	177379
C27C7.2	50921 Protein with strong similarity to C. elegans ZK1025.4 gene product C27C7.2	1.739	0.286219455	16	6.075204306	0	chrI	11433121	11433422	302	-	WBGene00007767		NA
F26B1.6	30491 Member of the C. elegans Srg family of integral membrane proteins, which may be involved in chemosensation, has high similarity to uncharacterized C. elegans SRG-11 F26B1.6	1.227	0.217003535	19	5.653770604	0	chrI	6312750	6314624	1875	+	WBGene00005171	srg-14	184958
C51F7.2	30187 Protein of unknown function, has high similarity to uncharacterized C. elegans F31E9.2 C51F7.2	1.716	0.293231011	17	5.851483654	0	chrV	12307490	12308658	1169	+	WBGene00005202	srg-45	183710
C34H4.4	49753 Protein containing a collagen triple helix repeat, which are found in some extracellular proteins, and a nematode cuticle collagen N-terminal domain, has a region of moderate similarity to a region of C. elegans BLI-1 C34H4.4	1.077	0.194547277	20	5.537901506	0	chrIV	1548721	1549714	994	+	WBGene00000681	col-107	176961
F28D9.2	30497 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has moderate similarity to uncharacterized C. elegans F15H9.4 F28D9.2	1.384	0.253312307	20	5.461795602	0	chrI	11182817	11186206	3390	+	WBGene00005517	sri-5	185064
F40G9.8	34056 Protein of unknown function, has moderate similarity to uncharacterized C. elegans T17A3.10 F40G9.8	1.14	0.212975322	20	5.354557125	0	chrIII	163598	164875	1278	-	WBGene00018244		185556
F14F7.1	28196 Protein with high similarity to C. elegans DPY-16, which is a putative collagen that functions in morphogenesis of the epithelium, contains a nematode cuticle collagen N-terminal domain F14F7.1	1.352	0.254238506	20	5.317374651	0	chrIII	13018935	13027569	8635	+	WBGene00000673	col-98	176724
C09G5.5	21474 Protein containing three collagen triple helix repeats, which are found in some extracellular proteins, and a nematode cuticle collagen N-terminal domain, has a region of moderate similarity to a region of C. elegans BLI-1 C09G5.5	1.597	0.301142861	20	5.304089336	0	chrII	10707201	10708286	1086	+	WBGene00000656	col-80	174652
W05E7.2	29471 Protein with moderate similarity to C. elegans Y116F11C.f gene product W05E7.2	1.331	0.240719341	17	5.529833896	0	chrIV	3436319	3437878	1560	+	WBGene00021033	srz-32	189213
F49A5.8	26474 Putative ortholog of C. elegans C41G6.7 gene product F49A5.8	1.037	0.185481095	16	5.58949704	0	chrV	16873942	16875455	1514	+	WBGene00005770	srw-23	186008
F36A4.1	32342 Protein with strong similarity to C. elegans F36A4.2 gene product F36A4.1	1.009	0.184444524	17	5.471160327	0	chrIV	4272467	4273023	557	+	WBGene00018080		185338
Y75B12B.7	30381 Protein of unknown function, has low similarity to uncharacterized C. elegans T24A6.14 Y75B12B.7	1.883	0.322338982	14	5.841779738	0	chrV	15198255	15199396	1142	+	WBGene00005748	srw-1	190719
W02D9.9	32877 Protein of unknown function W02D9.9	1.406	0.257861695	17	5.45280455	0	chrI	12557164	12557563	400	+	WBGene00012215		189123
F20D6.9	32186 Protein with high similarity to histone H3.1 (S. pombe Hht1p), which is involved in centromere-kinetochore complex maturation, member of the histone family of nucleosomal core proteins F20D6.9	1.598	0.282121473	15	5.664956545	0	chrV	8177093	8177449	357	-	WBGene00017638		184727
F57B1.4	22011 Protein containing two collagen triple helix repeats and one nematode cuticle collagen N-terminal domain, has a region of moderate similarity to a region of collagen type V alpha 2 subunit (human COL5A2), which is involved in connective tissue maintenance F57B1.4	1.464	0.282736008	20	5.176733714	0	chrV	13199755	13202192	2438	-	WBGene00000733	col-160	179804
F32B5.4	49028 Protein of unknown function, predicted to contain a glycosylphosphatidylinositol (GPI) lipid anchor F32B5.4	1.018	0.196857993	20	5.173641183	0	chrI	2692074	2692467	394	+	WBGene00017978	msrp-1	171830
F35F10.5	53042 Protein of unknown function, has strong similarity to uncharacterized C. elegans C17B7.12 F35F10.5	1.031	0.196900196	19	5.236559507	0	chrV	3284929	3285902	974	+	WBGene00018055		185310
ZK1053.1	22609 Protein containing a DUF235 domain of unknown function, has high similarity to uncharacterized C. elegans T15D6.9 ZK1053.1	1.196	0.217490864	16	5.497023468	0	chrI	13227912	13233418	5507	-	WBGene00014196		191506
F41E6.2	31259 Protein of unknown function, has strong similarity to C. elegans GRD-10 grd-5/F41E6.2	1.08	0.210533117	20	5.129565931	0	chrV	8619032	8619869	838	+	WBGene00001694	grd-5	179244
C33E10.6	27920 Putative ortholog of C. elegans ZC53.4 gene product C33E10.6	1.858	0.347310184	17	5.348445021	0	chrX	17266695	17269960	3266	+	WBGene00016348		NA
F11G11.11	24198 Putative collagen, has strong similarity to C. elegans COL-17 collagen col-20/F11G11.11	1.016	0.198860693	20	5.1076892	0	chrII	4869607	4870791	1185	-	WBGene00000609	col-20	173840
F52B11.4	29722 Protein with high similarity to C. elegans SQT-3, which is a collagen, contains two collagen triple helix repeats, which are found in some extracellular proteins, and a nematode cuticle collagen N-terminal domain F52B11.4	1.076	0.21077763	20	5.105022604	0	chrIV	14098250	14099368	1119	-	WBGene00000707	col-133	186083
K04A8.8	33476 Protein of unknown function K04A8.8	1.011	0.195671068	19	5.166177281	0	chrV	6557767	6558310	544	-	WBGene00005005	spp-20	186973
F25G6.5	28311 Member of a family of dehydrogenases F25G6.5	1.287	0.243097349	17	5.295474415	0	chrV	8549289	8551165	1877	+	WBGene00006435	stdh-4	184934
E04F6.14	53403 Protein with similarity to the C. elegans srd family of 7TM receptors E04F6.14	1.869	0.352434698	16	5.30363027	0	chrII	7202016	7203210	1195	-	WBGene00005134	srd-56	191818
C45B2.1	53327	1.325	0.266559255	20	4.971472438	0	chrX	6086124	6086567	444	+	WBGene00016658		180878
F37B4.6	30517 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has high similarity to uncharacterized C. elegans F37B4.3 F37B4.6	1.201	0.239372015	19	5.015932251	0	chrV	2867792	2869603	1812	-	WBGene00005448	srh-241	191890
F53B7.4	26541 Protein of unknown function F53B7.4	1.255	0.24638992	17	5.095489259	0	chrV	11000957	11002534	1578	-	WBGene00009967		186156
R02D1.1	30679 Putative paralog of C. elegans T04A11.2 gene product R02D1.1	1.356	0.283660423	19	4.780482452	0	chrV	4322121	4325515	3395	-	WBGene00003715	nhr-125	187520
Y116A8A.7	53129 Putative paralog of C. elegans Y116A8A.2 Y116A8A.7	1.282	0.263440836	17	4.865966312	0	chrIV	16830196	16830790	595	+	WBGene00013777		190987
C55A1.2	23898 Protein with strong similarity to C. elegans K04C1.6 gene product C55A1.2	1.79	0.347110682	14	5.156166346	0	chrV	15624355	15625515	1161	+	WBGene00005192	srg-35	NA
F17A2.9	28223 Protein of unknown function, has high similarity to uncharacterized C. elegans F17A2.11 F17A2.9	1.429	0.289832719	16	4.930576271	0	chrX	12336108	12337752	1645	+	WBGene00005126	srd-48	184605
ZC190.2	27350 Protein of unknown function, has weak similarity to C. elegans T03F7.5 ZC190.2	1.338	0.271779775	16	4.922266525	0	chrV	8681350	8682939	1590	+	WBGene00022537		191094
ZC504.1	22599 Protein containing one kunitz or bovine pancreatic trypsin inhibitor domain ZC504.1	1.299	0.27448303	18	4.733209606	0	chrX	10407150	10409774	2625	+	WBGene00013916		191192
F35C12.3	30512 Protein with strong similarity to C. elegans T23F6.2 gene product F35C12.3	1.072	0.23212318	20	4.618341111	0	chrI	9814516	9815907	1392	-	WBGene00009408		185275
M02B7.4	30666 Protein of unknown function M02B7.4	1.258	0.254714154	15	4.940774874	0	chrIV	3800872	3803426	2555	-	WBGene00019725	algn-14	187398
F57C12.3	32447 Protein of unknown function; member of the basic helix-loop-helix DNA-binding domain family F57C12.3	1.151	0.233899779	15	4.922545698	0	chrX	555788	557285	1498	-	WBGene00001962	hlh-19	186449
C05C9.1	21447 Protein containing lipopolysaccharide-binding protein, bactericidal permeability-increasing protein or cholesteryl ester transfer protein N-terminal and C-terminal domains, has weak similarity to lipopolysaccharide-binding protein (mouse Lbp) C05C9.1	1.132	0.241806945	18	4.68082975	0	chrX	11160981	11164006	3026	+	WBGene00007325		259726
F13A7.6	30456 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has moderate similarity to uncharacterized C. elegans F13A7.8 F13A7.6	1.155	0.253253714	20	4.561586581	0	chrV	16384490	16386136	1647	-	WBGene00005576	sri-64	NA
F01D5.11	32113 Protein containing a DUF38 domain of unknown function F01D5.11	1.984	0.415403754	16	4.776455165	0	chrII	13995401	13995876	476	+	WBGene00008501	fbxa-177	NA
T19D12.3	32726 Putative ortholog of C. elegans T19D12.2 gene product T19D12.3	1.329	0.28278108	17	4.698972269	0	chrII	6660147	6660994	848	+	WBGene00020578		188607
F53A9.3	31418 Protein of unknown function F53A9.3	1.099	0.230894909	16	4.7582975	0	chrX	8708353	8709398	1046	+	WBGene00018726		181117
D1086.3	32061 Protein containing a DUF19 domain of unknown function, which contain twelve conserved cysteines D1086.3	1.085	0.241812607	20	4.487330001	0	chrV	14092792	14093986	1195	+	WBGene00008390		179907
F46F5.9	31345 Protein of unknown function, has high similarity to uncharacterized C. elegans D2062.6 F46F5.9	1.31	0.277183626	16	4.726948791	0	chrII	822443	822860	418	-	WBGene00018500	msrp-4	185862
F57G8.1	29757 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has high similarity to uncharacterized C. elegans ZK228.8 F57G8.1	1.164	0.24922294	16	4.670751143	0	chrV	16317544	16318816	1273	+	WBGene00005395	srh-180	186464
T16H12.8	29280 Member of an uncharacterized protein family T16H12.8	1.416	0.304518054	16	4.648688326	0	chrIII	10104841	10106490	1650	-	WBGene00011816	srt-55	188561
T24A6.13	30337 Protein containing a DUF40 domain of unknown function, which contain four conserved cysteines, has high similarity to uncharacterized C. elegans T24A6.10 T24A6.13	1.405	0.291412896	14	4.820730089	0	chrV	3545677	3546617	941	-	WBGene00020752	srbc-68	188830
K02D3.2	48664 Protein containing a START (Steroidogenic Acute Regulatory protein) domain, which is a lipid-binding domain in StAR, HD-ZIP and signalling proteins K02D3.2	1.481	0.314451294	15	4.709183426	0	chrX	13708618	13714067	5450	-	WBGene00010505		186873
T23F1.4	48515 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has weak similarity to C. elegans ODR-10, which is a G protein-coupled receptor involved in the odorant response T23F1.4	1.139	0.250158989	17	4.551290539	0	chrV	15457815	15459188	1374	-	WBGene00006133	str-71	188801
C02B8.4	30864 Helix-loop-helix DNA-binding domain family member; involved in the development and differentiation of several different mesoderm-derived cells hlh-8/bHLH-8/CeTwist/C02B8.4	1.012	0.225405023	18	4.487794519	0	chrX	8116457	8120351	3895	+	WBGene00001953	hlh-8	181069
W02F12.7	33778 Member of the C. elegans Srg family of integral membrane proteins, has low similarity to C. elegans SRG-9, which is a G protein-coupled receptor that may be involved in chemosensation by sensory amphid neurons W02F12.7	1.468	0.318492027	15	4.60848179	0	chrV	6716805	6718297	1493	-	WBGene00005187	srg-30	189125
Y37D8A.8	31724 Protein with moderate similarity to C. elegans B0348.1 gene product Y37D8A.8	1.107	0.255169881	19	4.339414004	0	chrIII	12864948	12867591	2644	+	WBGene00012549		189616
F14B6.5	24240 Protein containing a DUF33 domain of unknown function, has high similarity to uncharacterized C. elegans F41D3.5 F14B6.5	1.479	0.322808374	15	4.582856061	0	chrI	12239160	12241808	2649	+	WBGene00008786	oac-16	184447
F49C12.1	26476 Protein of unknown function, has high similarity to uncharacterized C. elegans F49C12.3 F49C12.1	1.311	0.29159539	16	4.497643341	0	chrIV	9294899	9296406	1508	-	WBGene00009871		186024
F57B1.3	22010 Protein containing two collagen triple helix repeats and one nematode cuticle collagen N-terminal domain, has a region of high similarity to a region of collagen type V alpha 2 subunit (human COL5A2), which functions in connective tissue maintenance F57B1.3	1.308	0.306845274	20	4.262883193	0	chrV	13198219	13202176	3958	-	WBGene00000732	col-159	179803
C14E2.1	31009 Protein of unknown function C14E2.1	1.536	0.34816791	17	4.411067728	0	chrX	1826466	1827354	889	+	WBGene00015770		182613
T10D4.7	50432 Protein containing a DUF130 domain of unknown function, has moderate similarity to uncharacterized C. elegans R03H10.5 T10D4.7	1.281	0.29244734	17	4.3809421	0	chrII	3117771	3118458	688	+	WBGene00020409		188381
C54C8.1	21642 Protein containing nuclear hormone receptor ligand-binding and C4-type zinc finger domains, has weak similarity to a region of the glucocorticoid receptor (mouse Nr3c1), which is a transcription factor that inhibits inflammation and regulates apoptosis C54C8.1	1.307	0.301086379	17	4.342279217	0	chrI	12442299	12443728	1430	+	WBGene00008289	nhr-169	183768
C31B8.10	23651	1.105	0.26412771	20	4.18309055	0	chrV	2918830	2920008	1179	-	WBGene00005630	srj-51	NA
F18C5.1	24331 Protein of unknown function, has low similarity to uncharacterized C. elegans Y40H7A.6 F18C5.1	1.218	0.2816892	17	4.323908207	0	chrII	6569014	6570434	1421	+	WBGene00005053	sra-27	184633
T08G3.5	29888 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has high similarity to uncharacterized C. elegans T08G3.3 T08G3.5	1.238	0.287987854	17	4.298184522	0	chrV	16443926	16445734	1809	+	WBGene00005358	srh-141	188296
ZC204.1	53559 Protein containing a DUF148 domain of unknown function, has high similarity to uncharacterized C. elegans ZK488.7 ZC204.1	1.01	0.232156154	16	4.349831755	0	chrII	1665832	1667482	1651	+	WBGene00022553		191108
ZC317.5	49971 Protein of unknown function, has high similarity to uncharacterized C. elegans ZC317.4 ZC317.5	1.004	0.237136891	18	4.23350862	0	chrV	5463791	5465435	1645	-	WBGene00005225	srg-68	191141
F48E3.7	28588 Protein containing a neurotransmitter-gated ion-channel ligand binding domain, has low similarity to 5-hydroxytryptamine (serotonin) receptor 3A (human HTR3A), which is a ligand-gated ion channel that mediates a variety of neurophysiological effects acr-22/F48E3.7	1.287	0.293349939	15	4.38859323	0.001	chrX	7503823	7506633	2811	-	WBGene00000061	lgc-11	181009
F14A5.1	24236 Protein containing a nuclear hormone receptor C4-type zinc finger domain, which bind DNA and may be involved in regulation of transcription, has a region of low similarity to a region of peroxisome proliferator activated receptor delta (rat Ppard) F14A5.1	1.646	0.382981569	16	4.298053132	0.001	chrIV	9292296	9293925	1630	-	WBGene00008778	nhr-264	184443
E03H12.1	28154 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has low similarity to C. elegans ODR-10, which is involved in odorant response E03H12.1	1.132	0.263686587	16	4.293557178	0.001	chrIV	4992389	4993857	1469	+	WBGene00006207	str-162	192020
F28H7.9	21839 Member of the C. elegans Sre G protein-coupled chemoreceptor family, which are putative chemosensory receptors, has moderate similarity to uncharacterized C. elegans F40G12.1 F28H7.9	1	0.233724173	16	4.276943141	0.001	chrV	10760575	10762795	2221	-	WBGene00009242	sre-6	185100
K12H6.2	30662 Protein of unknown function K12H6.2	1.501	0.356134018	17	4.213464086	0.001	chrII	2812818	2815544	2727	-	WBGene00019683		187341
F46F2.3	31339 Protein of unknown function F46F2.3	1.171	0.288550855	20	4.059028517	0.001	chrX	15247746	15260290	12545	-	WBGene00009787		181619
Y39A3B.2	50193 Protein containing a neurotransmitter-gated ion-channel transmembrane and ligand binding domains, has moderate similarity to glycine receptor alpha 1 (rat Glra1), which is a subunit of glycine-gated chloride channel acting in inhibitory neurotransmission Y39A3B.2/Y39A3B.H	1.179	0.268728992	14	4.38904464	0.001	chrIII	1997841	2002438	4598	+	WBGene00021437	lgc-42	189722
C13A2.9	27598 Member of the domain of unknown function DUF13 family, has strong similarity to uncharacterized C. elegans F07G11.1 C13A2.9	1.22	0.295368738	18	4.129530742	0.001	chrV	7262561	7264148	1588	-	WBGene00015725		182556
F56B3.1	26663 Protein containing two collagen triple helix repeats, which are found in some extracellular proteins, and one nematode cuticle collagen N-terminal domain, has a region of high similarity to a region of C. elegans BLI-1, which is involved in chemotaxis F56B3.1	1.167	0.288685723	20	4.042385961	0.001	chrIV	762381	763680	1300	-	WBGene00000677	col-103	176901
C54D10.6	21648 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has low similarity to C. elegans H27D07.6 C54D10.6	1.617	0.384788705	16	4.201055011	0.001	chrV	12432365	12433817	1453	-	WBGene00005249	srh-25	183783
F56C3.3	32432 Protein of unknown function F56C3.3	1.069	0.255821299	16	4.178863652	0.001	chrX	1357771	1358395	625	-	WBGene00018940		186362
R08H2.10	32588 Protein containing a major sperm protein (MSP) domain, which are involved in sperm motility R08H2.10	1.234	0.302855597	18	4.07538755	0.001	chrV	15373676	15374801	1126	-	WBGene00011151		187717
H25K10.6	34076 Member of an uncharacterized protein family H25K10.6	1.388	0.327429149	15	4.240330607	0.001	chrIV	16233148	16236555	3408	+	WBGene00010415	irld-39	186782
F56H6.9	53322 Protein of unknown function, has high similarity to uncharacterized C. elegans F56H6.7 F56H6.9	1.569	0.378744529	15	4.141445963	0.001	chrI	12303599	12306820	3222	+	WBGene00010170		186420
F23B2.3	24425 Member of the amiloride-sensitive sodium channel family, has similarity to human and D. melanogaster amiloride-sensitive cation channels F23B2.3	1.939	0.451548252	13	4.294188548	0.001	chrIV	9132600	9135477	2878	-	WBGene00009073	delm-1	184882
